tranco_rank,tranco_domain,hb_status
0,lrytas.lt,True
0,cntraveler.com,True
0,kurashiru.com,True
0,lemonde.fr,True
0,noticiasaominuto.com,True
0,prosport.ro,True
0,masslive.com,True
0,cleveland.com,True
0,icy-veins.com,True
0,townhall.com,True
0,tz.de,True
0,kapanlagi.com,True
0,wyborcza.pl,True
0,mopo.de,True
0,nj.com,True
0,oregonlive.com,True
0,dexerto.com,True
0,hna.de,True
0,mobile01.com,True
0,accuweather.com,True
0,pennlive.com,True
0,idokep.hu,True
0,alo.rs,True
0,fr.de,True
0,rtl.fr,True
0,extra.cz,True
0,liputan6.com,True
0,topky.sk,True
0,lesechos.fr,True
0,fimela.com,True
0,bitchute.com,True
0,syracuse.com,True
0,thesimsresource.com,True
0,cancan.ro,True
0,sport.ro,True
0,merkur.de,True
0,lacuerda.net,True
0,cas.sk,True
0,wsbtv.com,True
0,meteored.cl,True
0,bola.com,True
0,metro.co.uk,True
0,financialpost.com,True
0,blic.rs,True
0,tv2.dk,True
0,belfasttelegraph.co.uk,True
97,nytimes.com,True
127,cnn.com,True
145,forbes.com,True
149,theguardian.com,True
154,bbc.com,True
169,bbc.co.uk,True
188,tds.net,True
215,washingtonpost.com,True
226,dailymail.co.uk,True
283,businessinsider.com,True
294,weather.com,True
312,espn.com,True
339,w3schools.com,True
347,usatoday.com,True
358,cnet.com,True
360,time.com,True
366,foxnews.com,True
369,telegraph.co.uk,True
383,tripadvisor.com,True
405,wired.com,True
411,speedtest.net,True
442,independent.co.uk,True
472,britannica.com,True
475,investopedia.com,True
476,uol.com.br,True
479,latimes.com,True
490,theverge.com,True
503,huffingtonpost.com,True
540,theatlantic.com,True
551,huffpost.com,True
564,nbcnews.com,True
567,nationalgeographic.com,True
582,buzzfeed.com,True
588,investing.com,True
597,nypost.com,True
612,usnews.com,True
621,merriam-webster.com,True
647,globo.com,True
679,marketwatch.com,True
753,ign.com,True
788,accuweather.com,True
797,mashable.com,True
855,zdnet.com,True
864,newyorker.com,True
882,reverso.net,True
886,newsweek.com,True
898,fastcompany.com,True
959,vox.com,True
972,gizmodo.com,True
990,gamespot.com,True
